formula,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
LiZnBr3,27.6,3.6,12.8,62.4062,2.302,2.1426,10.0454636,31.675478,1.876,1.202,388.8354,758.23,1.0784,55.464,3.407,5.55,61.315,0.402132
LiZnCl3,16.8,3.0,12.8,35.7362,2.422,2.2938,10.7377616,33.009038,1.816,1.1,332.2554,702.526,1.0814,30.4194,3.4634,3.99,58.6,0.4014534
LiZnF3,12.0,2.4,12.8,25.8662,2.914,2.163,13.4108636,39.703358,1.648,0.86,261.3534,610.084,1.2884,28.8324,2.5526,2.226,54.44188,0.4015674
LiZnI3,38.4,4.2,12.8,90.6062,2.122,1.95906,9.2279396,30.199658,1.954,1.316,461.3754,833.59,0.9224,42.708,4.499,6.726,65.02,0.404094
LiZnN,13.3333333333,2.66666666667,9.33333333333,28.7803333333,1.89,0.182666666667,9.77333933333,41.0685633333,1.79333333333,1.07,403.159,957.551666667,1.67,26.458,2.97533333333,3.57,88.3976,0.6690866
LiZnP,16.0,3.0,9.33333333333,34.4336666667,1.60666666667,0.454833333333,8.42420266667,37.7912966667,1.87666666667,1.19666666667,487.875666667,1116.31666667,1.57966666667,24.6913333333,3.166,3.66333333333,91.6,0.669783333333
LiZnSb,28.0,3.66666666667,9.33333333333,64.7103333333,1.56,0.562666666667,7.79810266667,36.7447966667,1.96333333333,1.3,683.368333333,1551.81666667,1.39233333333,25.16,4.79066666667,10.0166666667,110.123333333,0.75
Mg3As2,20.4,3.4,7.2,44.554,1.658,0.324,8.503181,16.456842,1.778,1.32,989.95,1173.55,0.7454,24.7774,3.3336,16.3,89.52,1.1368
Mg3N2,10.0,2.6,7.2,20.19,2.002,-0.028,10.401381,20.861682,1.658,1.124,579.15,848.832,1.0298,26.571,1.5432,5.364,77.67712,0.93610392
Mg3P2,13.2,3.0,7.2,26.974,1.662,0.2986,8.782417,16.928962,1.758,1.276,680.81,1039.35,0.9214,24.451,1.772,5.476,81.52,0.93694
Mg3Sb2,27.6,3.8,7.2,63.306,1.606,0.428,8.031097,15.673162,1.862,1.4,915.4012,1561.95,0.6966,25.0134,3.7216,13.1,103.748,1.0332
MgAl2O4,10.0,2.42857142857,13.1428571429,20.3242857143,2.61285714286,0.960926571429,10.5842815714,27.5966814286,1.64142857143,0.92,429.648,1044.02885714,0.927,27.2544285714,1.83628571429,4.42685714286,103.263371429,0.9001528
MgAl2S4,14.5714285714,3.0,13.1428571429,29.5071428571,2.12142857143,1.31292571429,8.72254442857,20.8634128571,1.80142857143,1.14857142857,620.505142857,1402.64142857,0.807,23.4384285714,2.13971428571,5.28857142857,107.028571429,0.901537142857
MgAl2Se4,24.8571428571,3.57142857143,13.1428571429,56.3014285714,2.10428571429,1.28028571429,8.375333,19.6360528571,1.85857142857,1.22857142857,680.842285714,1540.00714286,0.585857142857,24.9601428571,3.77342857143,7.38571428571,116.354285714,0.911657142857
MgAl2Te4,35.1428571429,4.14285714286,13.1428571429,84.0957142857,1.84714285714,1.25217142857,7.95088157143,18.1560528571,1.95,1.33714285714,811.533714286,1713.15,0.517857142857,25.1698571429,4.58542857143,14.3,130.245714286,0.913428571429
MgBr2,27.3333333333,3.66666666667,12.0,61.37,2.41,2.24333333333,10.4246116667,19.4057566667,1.81,1.24666666667,485.016666667,675.683333333,0.657,58.7496666667,2.65933333333,6.76666666667,52.35,0.520813333333
MgCl2,15.3333333333,3.0,12.0,31.7366666667,2.54333333333,2.41133333333,11.1938316667,20.88749,1.74333333333,1.13333333333,422.15,613.79,0.660333333333,30.9223333333,2.722,5.03333333333,49.3333333333,0.520059333333
MgF2,10.0,2.33333333333,12.0,20.77,3.09,2.266,14.163945,28.3256233333,1.55666666667,0.866666666667,343.37,511.076666667,0.890333333333,29.159,1.71,3.07333333333,44.7132,0.520186
MgGa2O4,15.1428571429,2.71428571429,13.1428571429,32.5357142857,2.67,0.920640857143,10.5881481429,28.0785671429,1.65,0.917142857143,249.488457143,961.171714286,0.777285714286,27.7772857143,2.75171428571,2.96685714286,93.3376571429,0.339009942857
